City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Geraldton,AU,2022-02-28 22:01:59,-28.7667,114.6,72.36,79,91,15.55
68,Barrow,US,2022-02-28 21:58:18,71.2906,-156.7887,16.02,97,100,3.09
69,Arraial Do Cabo,BR,2022-02-28 21:57:31,-22.9661,-42.0278,78.42,82,0,23.98
70,Batagay-Alyta,RU,2022-02-28 22:01:59,67.8006,130.4114,-17.14,92,100,5.39
71,Andros Town,BS,2022-02-28 22:02:00,24.7,-77.7667,77.34,66,27,2.55
72,Saint-Pierre,RE,2022-02-28 21:53:45,-21.3393,55.4781,78.12,81,7,0.87
73,Rajnagar,IN,2022-02-28 22:02:00,24.8833,79.9167,60.51,29,0,2.71
74,Karaton,ID,2022-02-28 22:02:01,-6.3424,106.1045,73.33,94,100,4.36
75,Ushuaia,AR,2022-02-28 22:02:01,-54.8,-68.3,45.57,73,91,2.64
76,Tarko-Sale,RU,2022-02-28 22:02:02,64.9225,77.785,24.58,96,100,14.54
77,Burnie,AU,2022-02-28 22:02:02,-41.0667,145.9167,67.95,96,100,18.25
78,Grand Forks,US,2022-02-28 22:00:04,47.9417,-97.4337,24.37,89,94,7.54
79,Punta Arenas,CL,2022-02-28 21:59:04,-53.15,-70.9167,49.8,60,100,14.41
80,Yulara,AU,2022-02-28 22:02:03,-25.2406,130.9889,78.93,35,5,7.92
81,Zhanaozen,KZ,2022-02-28 22:02:03,43.3,52.8,39.04,82,9,3.18
82,Katsuura,JP,2022-02-28 22:02:04,35.1333,140.3,48.16,64,0,7.0
83,Thompson,CA,2022-02-28 22:00:06,55.7435,-97.8558,9.27,78,100,7.34
84,Rockhampton,AU,2022-02-28 22:00:38,-23.3833,150.5,78.69,83,21,1.14
85,Hobart,AU,2022-02-28 22:00:02,-42.8794,147.3294,65.43,93,100,7.72
86,Port Alfred,ZA,2022-02-28 22:02:05,-33.5906,26.891,73.63,90,78,14.32
87,Tecoanapa,MX,2022-02-28 22:02:05,16.5167,-98.75,84.79,54,4,10.54
88,San Patricio,US,2022-02-28 22:02:05,28.017,-97.5169,64.94,25,32,5.97
89,Musoma,TZ,2022-02-28 22:02:06,-1.5,33.8,75.6,64,97,2.77
90,Huancabamba,PE,2022-02-28 22:02:06,-5.2386,-79.4506,62.62,96,96,1.79
91,Henderson,US,2022-02-28 21:57:16,36.0397,-114.9819,69.85,9,0,13.24
92,Chokurdakh,RU,2022-02-28 22:02:07,70.6333,147.9167,-11.07,99,99,3.98
93,Nuuk,GL,2022-02-28 22:02:07,64.1835,-51.7216,0.37,94,99,4.56
94,Kampong Cham,KH,2022-02-28 22:02:08,11.9934,105.4635,78.82,66,82,3.11
95,Ponta Do Sol,PT,2022-02-28 22:03:08,32.6667,-17.1,63.23,76,14,4.12
96,Nettetal,DE,2022-02-28 22:03:08,51.3167,6.2833,37.45,62,3,7.31
97,Nemuro,JP,2022-02-28 22:03:09,43.3236,145.575,26.65,79,100,10.89
98,Westport,US,2022-02-28 21:59:59,41.1415,-73.3579,32.18,30,8,6.64
99,Jamestown,US,2022-02-28 22:03:09,42.097,-79.2353,27.73,65,94,2.24
100,Palanpur,IN,2022-02-28 22:03:10,24.1667,72.4333,67.3,27,0,5.32
101,Churapcha,RU,2022-02-28 22:03:10,62.0025,132.4325,-6.0,100,100,1.95
102,Rabat,MA,2022-02-28 21:59:23,33.9911,-6.8401,58.89,59,0,13.73
103,Ribeira Grande,PT,2022-02-28 22:03:11,38.5167,-28.7,60.67,71,72,10.09
104,Lata,PT,2022-02-28 22:03:11,40.1629,-8.3327,55.81,85,89,1.54
105,Hilo,US,2022-02-28 22:00:37,19.7297,-155.09,77.41,69,3,9.95
106,Tiksi,RU,2022-02-28 22:03:12,71.6872,128.8694,-21.41,100,100,3.67
107,Voh,NC,2022-02-28 22:03:12,-20.9667,164.7,82.27,85,100,7.61
108,Mana,GF,2022-02-28 22:03:13,5.6592,-53.7767,77.94,86,52,9.15
109,Bambous Virieux,MU,2022-02-28 22:03:13,-20.3428,57.7575,77.22,84,93,5.32
110,Homer,US,2022-02-28 22:03:14,59.6425,-151.5483,36.99,74,37,0.51
111,Madang,PG,2022-02-28 22:03:14,-5.2246,145.7966,75.56,93,100,3.89
112,Esperance,AU,2022-02-28 22:03:14,-33.8667,121.9,67.55,77,7,16.46
113,Broome,US,2022-02-28 22:03:15,42.2506,-75.833,19.71,75,56,3.27
114,Winston-Salem,US,2022-02-28 21:58:51,36.0999,-80.2442,53.24,45,1,3.69
115,Chuy,UY,2022-02-28 22:03:16,-33.6971,-53.4616,73.94,81,100,7.85
116,Kropotkin,RU,2022-02-28 21:59:07,45.4375,40.5756,38.84,77,86,12.62
117,Hualmay,PE,2022-02-28 22:03:16,-11.0964,-77.6139,73.71,79,100,10.74
118,Oga,IT,2022-02-28 22:03:17,46.4631,10.347,28.69,95,49,4.61
