,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Kalabo,ZM,-14.97,22.6814,73.06,77,100,2.91,overcast clouds
343,Morant Bay,JM,17.8815,-76.4093,83.82,66,27,11.83,scattered clouds
344,Motril,ES,36.7507,-3.5179,55.27,67,69,13.18,broken clouds
345,Hamilton,US,39.1834,-84.5333,45.64,54,40,11.5,scattered clouds
346,Kaitangata,NZ,-46.2817,169.8464,60.31,88,100,3.83,overcast clouds
347,Grand-Santi,GF,4.25,-54.3833,78.93,92,83,2.98,moderate rain
348,Bah,IN,26.87,78.5975,65.1,44,0,5.91,clear sky
349,Mednogorsk,RU,51.4128,57.595,14.13,93,90,1.99,overcast clouds
350,Clyde River,CA,70.4692,-68.5914,7.03,78,100,20.71,overcast clouds
351,Vaitape,PF,-16.5167,-151.75,81.16,76,20,13.76,light rain
352,Llano Largo,PA,7.9,-80.4333,81.25,58,90,21.07,overcast clouds
353,Sisimiut,GL,66.9395,-53.6735,9.16,95,100,3.74,overcast clouds
354,Port Hedland,AU,-20.3167,118.5667,82.45,74,40,13.8,scattered clouds
355,Uddevalla,SE,58.3478,11.9424,31.05,85,4,3.67,clear sky
356,Illapel,CL,-31.6308,-71.1653,80.58,41,0,7.83,clear sky
357,Provideniya,RU,64.3833,-173.3,15.91,79,100,27.0,snow
358,Ritchie,ZA,-29.038,24.6028,65.41,84,100,11.65,light rain
359,Menongue,AO,-14.6585,17.691,65.03,93,100,2.3,light rain
360,Taybad,IR,34.74,60.7756,59.45,40,18,9.57,few clouds
361,Ende,ID,-8.8432,121.6623,77.99,87,29,2.73,scattered clouds
362,Sangar,RU,63.9242,127.4739,-12.1,97,100,2.64,overcast clouds
363,Taltal,CL,-25.4,-70.4833,69.91,75,88,3.4,overcast clouds
364,Viedma,AR,-40.8135,-62.9967,84.49,27,95,17.81,overcast clouds
365,Pattaya,TH,12.9333,100.8833,78.93,83,6,7.76,clear sky
366,Jimeta,NG,9.2833,12.4667,85.78,8,57,2.01,broken clouds
367,Fagernes,NO,60.9858,9.2324,22.28,93,40,3.62,scattered clouds
368,Synya,RU,65.3718,58.0387,-3.66,92,92,7.78,overcast clouds
369,Antas,PT,41.7364,-8.3089,45.66,85,41,5.5,scattered clouds
370,Pinhao,BR,-25.6956,-51.6597,64.98,99,100,1.86,heavy intensity rain
371,Hobyo,SO,5.3505,48.5268,77.5,67,100,18.81,overcast clouds
372,Vestmanna,FO,62.1564,-7.1664,38.32,87,75,10.36,broken clouds
373,Wanning,CN,18.8003,110.3967,70.72,90,62,2.93,broken clouds
374,Gualeguaychu,AR,-33.0094,-58.5172,89.04,45,93,7.38,overcast clouds
375,Imbituba,BR,-28.24,-48.6703,79.83,85,100,2.28,light rain
376,La Ronge,CA,55.1001,-105.2842,12.42,26,0,3.44,clear sky
377,Fortuna Foothills,US,32.6578,-114.4119,87.22,9,20,10.36,few clouds
378,Dobryanka,RU,58.4619,56.4165,17.46,96,99,4.92,overcast clouds
379,Ilhabela,BR,-23.7781,-45.3581,79.92,88,68,1.9,broken clouds
380,Ndele,CF,8.4109,20.6473,83.21,31,81,1.5,broken clouds
381,Brownwood,US,31.7093,-98.9912,78.12,27,0,4.61,clear sky
382,Khani,GE,41.9563,42.9566,29.77,99,100,4.05,snow
383,Bonthe,SL,7.5264,-12.505,78.04,75,90,8.37,overcast clouds
384,Bandrele,YT,-12.9067,45.1914,76.75,94,0,1.14,moderate rain
385,Alepe,CI,5.5004,-3.6631,76.87,83,79,5.77,broken clouds
386,Nyirmeggyes,HU,47.9167,22.2667,40.62,67,61,7.78,broken clouds
387,Wajima,JP,37.4,136.9,38.43,53,6,5.82,clear sky
388,Tilichiki,RU,60.4667,166.1,-1.88,93,6,10.16,clear sky
389,Pafos,CY,34.7667,32.4167,55.31,58,75,26.46,broken clouds
390,Ostersund,SE,63.1792,14.6357,27.05,80,0,2.3,clear sky
391,Bathsheba,BB,13.2167,-59.5167,79.0,74,52,20.31,broken clouds
392,Muzhi,RU,65.3667,64.6667,-14.15,100,43,5.14,scattered clouds
393,Kendal,GB,54.3268,-2.7476,44.31,97,100,4.7,light rain
394,Muros,ES,42.7762,-9.0603,50.85,82,19,16.06,few clouds
395,Erenhot,CN,43.6475,111.9767,17.89,90,67,21.12,light snow
396,Perevoz,RU,55.5961,44.5446,29.53,94,100,2.1,overcast clouds
397,Chapais,CA,49.7834,-74.8492,-4.22,81,100,10.38,overcast clouds
398,Port Hardy,CA,50.6996,-127.4199,45.75,93,75,5.75,light intensity shower rain
399,Urtenen,CH,47.0267,7.5008,41.38,63,0,1.99,clear sky
400,Gweta,BW,-20.1833,25.2333,78.55,59,82,5.95,broken clouds
401,Havelock,US,34.8791,-76.9013,83.98,44,20,16.11,few clouds
402,Jacareacanga,BR,-6.2222,-57.7528,78.24,94,100,1.72,overcast clouds
403,Terrace,CA,54.5163,-128.6035,42.42,87,75,3.44,broken clouds
404,Campos Novos,BR,-27.4017,-51.225,70.7,85,80,4.61,broken clouds
405,Warri,NG,5.5167,5.75,76.33,80,100,2.51,light rain
406,Trairi,BR,-3.2778,-39.2689,80.65,77,100,11.92,overcast clouds
407,Grindavik,IS,63.8424,-22.4338,35.55,86,40,4.61,scattered clouds
408,Naliya,IN,23.2667,68.8333,71.46,56,0,5.53,clear sky
409,Mwaro,BI,-3.5,29.6667,56.53,88,67,2.39,light rain
410,Changying,CN,52.8733,123.3213,11.82,96,100,4.76,light snow
411,Charters Towers,AU,-20.1,146.2667,79.18,28,35,7.23,scattered clouds
412,Jingdezhen,CN,29.2947,117.2079,59.59,95,96,0.72,overcast clouds
413,Palapye,BW,-22.546,27.1251,76.66,47,41,6.44,scattered clouds
414,Mzimba,MW,-11.9,33.6,63.09,94,100,2.15,overcast clouds
415,La Baule-Escoublac,FR,47.2922,-2.364,48.0,92,100,3.44,overcast clouds
416,Regen,DE,48.9667,13.1333,33.82,55,0,1.99,clear sky
417,Strelka,RU,58.0728,93.0344,12.47,97,100,2.98,overcast clouds
418,The Valley,AI,18.217,-63.0578,82.26,74,40,16.11,scattered clouds
419,Sibolga,ID,1.7427,98.7792,77.13,80,100,2.64,overcast clouds
420,Freeport,US,40.6576,-73.5832,44.78,33,0,20.71,clear sky
421,Sabzevar,IR,36.2126,57.6819,52.88,43,75,6.91,broken clouds
422,Woonsocket,US,42.0029,-71.5148,39.85,36,0,12.66,clear sky
423,Buraydah,SA,26.326,43.975,79.25,27,100,11.07,overcast clouds
424,Chhapar,IN,27.8167,74.4,64.67,49,100,8.97,overcast clouds
425,Kudahuvadhoo,MV,2.6708,72.8944,81.64,75,35,14.92,scattered clouds
426,Kutum,SD,14.2,24.6667,74.03,9,44,13.98,scattered clouds
427,Virtsu,EE,58.5716,23.5115,33.1,61,12,11.86,few clouds
428,Tiznit,MA,29.5833,-9.5,53.08,85,43,4.74,scattered clouds
429,Abilene,US,32.4487,-99.7331,79.02,20,0,11.5,clear sky
430,Margate,GB,51.3813,1.3862,48.11,83,99,1.01,overcast clouds
431,Oyem,GA,1.5995,11.5793,67.8,98,100,1.83,heavy intensity rain
432,Zaoyang,CN,32.1272,112.7542,52.29,76,2,1.9,clear sky
433,Carutapera,BR,-1.195,-46.02,77.63,91,100,6.35,moderate rain
434,Paamiut,GL,61.994,-49.6678,9.34,77,45,10.83,scattered clouds
435,Zyryanka,RU,65.75,150.85,-27.51,100,100,1.03,overcast clouds
436,Mecca,SA,21.4267,39.8261,77.77,51,0,5.91,clear sky
437,Pochutla,MX,15.7432,-96.4661,89.82,44,0,9.13,clear sky
438,Bilibino,RU,68.0546,166.4372,-14.1,100,60,4.7,broken clouds
439,Louis Trichardt,ZA,-23.0439,29.9032,69.71,65,0,4.25,clear sky
440,Ixtapa,MX,20.7,-105.2,88.54,28,1,8.41,clear sky
441,Huainan,CN,32.6264,116.9969,51.17,89,51,6.04,broken clouds
442,San Quintin,MX,30.4833,-115.95,64.24,60,32,12.12,scattered clouds
443,Russell,US,32.3502,-85.1999,83.48,21,0,5.75,clear sky
444,Tamale,GH,9.4008,-0.8393,94.05,22,11,5.17,few clouds
445,Antofagasta,CL,-23.65,-70.4,75.22,57,26,7.05,scattered clouds
446,Santa Cruz,BO,-17.8,-63.1667,86.05,66,75,13.8,broken clouds
447,Kolondieba,ML,11.0882,-6.8926,86.31,19,88,6.46,overcast clouds
448,Beruwala,LK,6.4788,79.9828,76.24,85,100,8.52,overcast clouds
449,Sarahan,IN,31.5167,77.8,34.47,59,73,8.21,broken clouds
450,Palauig,PH,15.435,119.9045,77.13,70,75,4.29,broken clouds
451,Oksfjord,NO,70.2396,22.3479,27.52,86,100,15.95,light snow
452,Isla Mujeres,MX,21.2311,-86.731,80.17,54,4,8.14,clear sky
453,Ayia Galini,GR,35.1,24.6833,49.15,77,64,3.85,broken clouds
454,Cody,US,44.5263,-109.0565,65.59,21,0,9.22,clear sky
455,Alugan,PH,12.2188,125.4808,78.49,85,77,12.3,broken clouds
456,Broome,US,42.2506,-75.833,28.0,46,40,16.11,scattered clouds
457,Tual,ID,-5.6667,132.75,83.43,73,99,10.74,overcast clouds
458,Karatau,KZ,43.1667,70.4667,43.65,48,11,5.97,few clouds
459,Raga,SS,8.4596,25.678,84.06,39,82,3.42,broken clouds
460,Eagle,US,43.6954,-116.354,60.69,48,0,4.61,clear sky
461,Tornio,FI,65.8481,24.1466,10.42,93,95,4.85,overcast clouds
462,Beloha,MG,-25.1667,45.05,75.2,86,3,13.15,clear sky
463,Killybegs,IE,54.6333,-8.45,42.51,80,99,14.38,overcast clouds
464,Harnosand,SE,62.6323,17.9379,21.2,88,11,4.61,few clouds
465,Namatanai,PG,-3.6667,152.4333,80.71,83,100,5.84,light rain
466,Sabang,ID,5.8933,95.3214,81.66,77,94,10.02,overcast clouds
467,Dukat,RU,62.55,155.55,-18.53,100,100,4.36,overcast clouds
468,Beibei,CN,29.8256,106.4339,57.24,77,0,2.75,clear sky
469,Plainfield,US,40.6168,-74.4173,45.97,30,0,12.66,clear sky
470,Behshahr,IR,36.6923,53.5526,78.75,33,98,10.49,overcast clouds
471,Mukhtolovo,RU,55.4644,43.1953,29.16,96,100,1.92,overcast clouds
472,Maiduguri,NG,11.8464,13.1603,81.81,6,13,9.15,few clouds
473,Meulaboh,ID,4.1363,96.1285,77.27,87,100,3.6,overcast clouds
474,Hay River,CA,60.8156,-115.7999,15.78,62,75,6.91,broken clouds
475,Santa Vitoria,BR,-18.8386,-50.1214,81.19,62,52,5.77,broken clouds
476,Plettenberg Bay,ZA,-34.0527,23.3716,65.19,89,92,4.05,overcast clouds
477,Nantucket,US,41.2835,-70.0995,42.94,60,0,9.22,clear sky
478,Goderich,CA,43.7501,-81.7165,22.91,63,100,13.8,overcast clouds
479,Kashi,CN,39.4547,75.9797,46.26,23,0,8.95,clear sky
480,Pacific Grove,US,36.6177,-121.9166,64.6,74,0,6.91,clear sky
481,Yumen,CN,40.2833,97.2,31.06,52,4,4.27,clear sky
482,Matara,LK,5.9485,80.5353,78.31,84,72,6.04,broken clouds
483,Inirida,CO,3.8653,-67.9239,80.78,89,94,1.79,light rain
484,San Cristobal,VE,7.7669,-72.225,80.78,47,97,1.28,overcast clouds
485,Visnes,NO,59.3556,5.2242,42.22,75,0,10.36,clear sky
486,Chicama,PE,-7.8447,-79.1469,73.94,59,100,8.75,overcast clouds
487,Le Creusot,FR,46.8071,4.4163,44.74,88,88,2.84,overcast clouds
488,Bolobo,CD,-2.1667,16.2333,76.44,73,85,2.57,overcast clouds
489,Grootfontein,NA,-19.5667,18.1167,63.97,94,93,3.44,overcast clouds
490,Ubinskoye,RU,55.3068,79.6802,15.93,93,100,11.1,overcast clouds
491,Lufilufi,WS,-13.8745,-171.5986,82.18,79,38,13.38,scattered clouds
492,Makat,KZ,47.6469,53.3463,42.39,76,96,19.48,overcast clouds
493,Auki,SB,-8.7676,160.7034,79.61,85,100,3.42,overcast clouds
494,Nemuro,JP,43.3236,145.575,22.15,81,5,11.23,clear sky
495,Kattivakkam,IN,13.2167,80.3167,81.07,79,91,12.19,overcast clouds
496,Ust-Ishim,RU,57.6935,71.1665,20.48,97,100,5.06,overcast clouds
497,Taraz,KZ,42.9,71.3667,41.29,65,100,2.24,overcast clouds
498,Srisailam,IN,16.0833,78.8667,68.04,68,40,3.58,scattered clouds
499,Antipolo,PH,14.5864,121.1753,76.66,76,20,4.61,light rain
500,Dzerzhinsk,RU,56.2389,43.4631,21.02,86,0,4.47,clear sky
501,Werda,BW,-25.2667,23.2833,69.6,81,100,8.21,overcast clouds
502,Big Spring,US,32.2504,-101.4787,79.29,22,0,5.01,clear sky
503,Isangel,VU,-19.55,169.2667,82.51,89,40,4.61,scattered clouds
504,Sile,TR,41.1754,29.6133,42.57,64,100,3.0,overcast clouds
505,Hornepayne,CA,49.2138,-84.7705,13.19,73,100,10.22,overcast clouds
506,Cape Canaveral,US,28.4058,-80.6048,84.18,46,0,10.36,clear sky
507,Idil,TR,37.3411,41.8895,42.1,82,90,12.3,overcast clouds
508,Guacimo,CR,10.2104,-83.6807,90.18,87,86,0.45,overcast clouds
509,Manono,CD,-7.3,27.4167,70.14,95,48,2.17,light rain
510,Alihe,CN,50.5667,123.7167,14.04,96,100,2.21,light snow
511,Formosa Do Rio Preto,BR,-11.0483,-45.1931,80.82,61,100,0.27,overcast clouds
512,Vestmannaeyjar,IS,63.4427,-20.2734,38.68,68,81,16.64,broken clouds
513,Salekhard,RU,66.53,66.6019,-19.07,99,56,2.44,broken clouds
514,Zemio,CF,5.0314,25.1361,75.42,52,83,0.6,broken clouds
515,Porto Santo,PT,33.072,-16.3415,61.3,77,40,14.97,scattered clouds
516,Salalah,OM,17.0151,54.0924,72.63,73,0,2.26,clear sky
517,Henties Bay,NA,-22.116,14.2845,62.85,82,2,8.86,clear sky
518,Methoni,GR,36.8197,21.7049,49.21,68,100,8.39,overcast clouds
519,Lata,PT,40.1629,-8.3327,52.81,81,8,10.33,clear sky
520,Asau,RO,46.4333,26.4,33.96,98,99,2.42,overcast clouds
521,Rajsamand,IN,25.0667,73.8833,60.49,45,0,7.02,clear sky
522,Constitucion,CL,-35.3333,-72.4167,66.38,77,6,14.07,clear sky
523,Wencheng,CN,33.0559,113.7978,53.11,50,0,6.04,clear sky
524,Skibbereen,IE,51.55,-9.2667,41.11,72,6,12.53,clear sky
525,Camana,PE,-16.6228,-72.7111,74.77,77,29,4.99,scattered clouds
526,Ise,JP,34.4833,136.7,42.12,77,1,11.81,clear sky
527,Oktyabrskoye,RU,43.0645,44.7417,41.14,81,100,11.18,overcast clouds
528,Caohai,CN,26.8661,104.2841,43.52,84,66,4.54,broken clouds
529,Moa,CU,20.6569,-74.9403,79.05,70,29,8.68,scattered clouds
530,Jalu,LY,29.0331,21.5482,56.61,42,100,7.47,overcast clouds
531,Warrington,GB,53.3925,-2.5802,46.33,93,100,9.22,light rain
532,Saint-Ambroise,CA,48.5501,-71.3324,1.94,46,100,16.11,overcast clouds
533,Kruisfontein,ZA,-34.0033,24.7314,66.88,81,100,2.19,overcast clouds
534,Saint Pete Beach,US,27.7253,-82.7412,86.05,56,0,5.75,clear sky
535,Komsomolskiy,UZ,40.4272,71.7189,41.72,60,76,6.91,haze
536,Kletnya,RU,53.3897,33.2171,28.56,96,100,5.64,overcast clouds
537,Gravelbourg,CA,49.8834,-106.5512,19.67,95,100,13.42,snow
538,Fairview,US,40.8126,-73.999,43.81,32,0,8.99,clear sky
539,Mattru,SL,7.6244,-11.8332,78.39,66,86,5.46,overcast clouds
540,Aasiaat,GL,68.7098,-52.8699,8.58,92,100,1.43,overcast clouds
541,Puerto El Triunfo,SV,13.2833,-88.55,85.64,56,6,11.52,clear sky
542,General Pico,AR,-35.6566,-63.7568,87.69,35,26,9.01,scattered clouds
543,Miraflores,MX,19.2167,-98.8083,77.04,19,1,6.13,clear sky
544,Lamu,KE,-2.2717,40.902,80.82,89,25,10.92,scattered clouds
545,Berlevag,NO,70.8578,29.0864,28.35,74,40,20.71,scattered clouds
546,Port Macquarie,AU,-31.4333,152.9167,69.76,93,95,5.53,overcast clouds
547,Santiago,CL,-33.4569,-70.6483,89.29,30,0,14.97,clear sky
548,Nchelenge,ZM,-9.3451,28.734,70.88,85,87,1.88,light rain
549,Luwuk,ID,-0.9516,122.7875,78.42,83,98,1.9,overcast clouds
550,Ipixuna,BR,-1.7625,-48.8043,82.35,94,83,4.23,light rain
551,Awjilah,LY,29.1081,21.2869,56.55,43,100,7.67,overcast clouds
552,Adrar,MR,20.5022,-10.0711,66.52,11,0,11.36,clear sky
553,Anadyr,RU,64.75,177.4833,-1.7,78,0,4.47,clear sky
554,Contamana,PE,-7.3333,-75.0167,88.32,48,92,4.92,overcast clouds
555,Mawlamyine,MM,16.4914,97.6256,78.24,80,9,1.99,clear sky
556,Muli,MV,2.9167,73.5667,81.82,75,34,14.63,scattered clouds
557,Lincoln,US,40.8,-96.667,54.01,45,0,17.0,clear sky
558,Alyangula,AU,-13.8483,136.4192,78.67,94,40,0.0,scattered clouds
559,El Tigre,VE,8.8875,-64.2454,93.38,30,66,8.77,broken clouds
560,Bambanglipuro,ID,-7.95,110.2833,77.34,90,95,5.7,overcast clouds
561,Bomet,KE,-0.7813,35.3416,55.65,60,76,3.56,broken clouds
562,Lavrentiya,RU,65.5833,-171.0,7.66,91,89,7.67,overcast clouds
563,Tirumala,IN,13.6833,79.35,61.45,90,91,2.57,overcast clouds
564,Keuruu,FI,62.2667,24.7,25.75,89,6,6.49,clear sky
565,La Palma,US,33.8464,-118.0467,80.42,66,75,10.0,broken clouds
566,Berkak,NO,62.825,10.0118,19.8,70,2,8.34,clear sky
567,Road Town,VG,18.4167,-64.6167,80.64,83,75,6.91,broken clouds
568,Abonnema,NG,4.7084,6.7931,80.98,80,100,7.14,moderate rain
569,Sembe,CG,1.6481,14.5806,69.31,99,100,1.59,light rain
570,Aksu,CN,41.1231,80.2644,41.38,34,0,5.03,clear sky
571,Sorong,ID,-0.8833,131.25,79.05,85,100,4.92,overcast clouds
572,Pauini,BR,-7.7136,-66.9764,74.91,98,100,3.04,light rain
573,Hilton Head Island,US,32.2163,-80.7526,85.05,54,0,1.99,clear sky
574,Jiuquan,CN,39.7432,98.5174,30.06,54,19,3.24,few clouds
575,Puerto Escondido,MX,15.85,-97.0667,86.14,53,0,8.61,clear sky
576,Kalengwa,ZM,-13.4659,25.0027,64.17,95,100,3.24,overcast clouds
577,College,US,64.8569,-147.8028,29.89,71,0,1.01,clear sky
578,Mapiripan,CO,2.8892,-72.1256,77.38,81,99,4.74,overcast clouds
579,Usakos,NA,-22.0,15.6,66.11,49,0,7.45,clear sky
580,Hambantota,LK,6.1241,81.1185,78.42,83,99,10.18,overcast clouds
581,Valera,VE,9.3178,-70.6036,78.39,84,94,2.46,overcast clouds
582,Neftcala,AZ,39.3742,49.2472,52.34,84,100,4.99,overcast clouds
583,Paso De Carrasco,UY,-34.8603,-56.0522,75.65,70,0,14.97,clear sky
584,Colares,PT,38.7992,-9.4469,53.82,69,20,32.01,few clouds
585,Jhargram,IN,22.45,86.9833,70.75,58,1,1.05,clear sky
586,Laki,BG,41.85,24.8167,32.16,89,41,4.99,scattered clouds
587,Nidzica,PL,53.3605,20.4275,33.39,98,62,5.73,broken clouds
588,Pemberton,CA,50.3164,-122.8027,49.86,93,86,1.77,overcast clouds
589,Aquiraz,BR,-3.9014,-38.3911,84.29,79,40,8.25,scattered clouds
590,Churapcha,RU,62.0025,132.4325,-8.54,98,100,3.87,overcast clouds
591,Liling,CN,27.6667,113.5,53.49,95,99,2.98,overcast clouds
592,Omsukchan,RU,62.5333,155.8,-18.65,100,100,4.63,overcast clouds
593,Lang Son,VN,21.8333,106.7333,62.62,94,37,2.64,scattered clouds
594,Katangli,RU,51.7102,143.2326,-0.54,93,12,11.36,few clouds
595,Hualmay,PE,-11.0964,-77.6139,76.1,74,71,7.67,broken clouds
596,Ferme-Neuve,CA,46.7001,-75.4493,10.18,81,100,9.69,overcast clouds
597,Bonfim,BR,3.0833,-59.95,89.24,50,99,7.07,overcast clouds
598,Krasnoselkup,RU,65.7,82.4667,5.74,96,100,11.72,overcast clouds
599,Kerrville,US,30.0474,-99.1403,77.56,42,0,8.05,clear sky
600,Banda Aceh,ID,5.5577,95.3222,78.75,79,100,5.28,overcast clouds
601,Zonguldak,TR,41.25,31.8333,30.69,99,100,5.55,snow
602,Narsimhapur,IN,22.95,79.2,71.06,29,0,4.59,clear sky
603,Maniitsoq,GL,65.4167,-52.9,8.94,84,93,8.79,overcast clouds
604,Maridi,SS,4.9158,29.4742,71.33,70,78,3.91,broken clouds
605,Beyneu,KZ,45.3167,55.2,49.17,64,95,23.8,overcast clouds
606,San Juan,AR,-31.5375,-68.5364,93.36,26,3,7.87,clear sky
607,Mandan,US,46.8267,-100.8896,21.04,77,75,12.66,broken clouds
608,Quatre Cocos,MU,-20.2078,57.7625,78.91,87,55,10.16,light rain
609,Kahului,US,20.8947,-156.47,85.26,68,20,6.91,few clouds
610,Yuksekova,TR,37.5736,44.2872,34.43,84,96,15.14,snow
611,Emerald,AU,-23.5333,148.1667,78.94,47,0,8.05,clear sky
612,Yasnyy,RU,51.0333,59.8742,8.73,90,47,6.78,scattered clouds
613,Bereda,ES,43.2686,-7.5406,46.92,100,62,5.93,light rain
614,San Jose,US,37.3394,-121.895,64.26,63,0,8.05,clear sky
615,Malangwa,NP,26.8568,85.5581,61.79,45,0,5.14,clear sky
616,Pontes E Lacerda,BR,-15.2261,-59.3353,80.17,90,94,1.9,overcast clouds
617,Lagunillas,VE,10.1301,-71.2595,84.87,65,49,8.84,scattered clouds
618,La Crosse,US,43.8014,-91.2396,33.42,43,100,5.01,overcast clouds
619,Isiro,CD,2.7739,27.616,70.83,75,57,4.07,broken clouds
620,Teguise,ES,29.0605,-13.564,61.02,68,20,18.41,few clouds
621,Iranshahr,IR,27.2025,60.6848,68.34,32,0,4.61,clear sky
622,Ketchikan,US,55.3422,-131.6461,39.18,79,100,1.54,overcast clouds
623,Caucasia,CO,7.9865,-75.1935,90.05,54,89,4.88,overcast clouds
624,Hamada,JP,34.8833,132.0833,35.01,63,44,8.21,scattered clouds
625,Mocuba,MZ,-16.8392,36.9856,69.8,97,0,0.94,clear sky
626,Black Diamond,US,47.3087,-122.0032,47.64,86,100,1.99,overcast clouds
627,Bani,DO,18.2833,-70.3333,83.64,61,8,13.2,clear sky
628,Salta,AR,-24.7859,-65.4117,79.09,68,75,5.75,broken clouds
629,Miracema Do Tocantins,BR,-9.5618,-48.3967,76.64,89,100,4.21,overcast clouds
630,Maseru,LS,-29.3167,27.4833,58.98,95,100,1.14,heavy intensity rain
631,Foso,GH,5.7012,-1.2866,77.45,82,18,5.26,few clouds
632,Bardiyah,LY,31.7561,25.0865,54.28,72,4,5.68,clear sky
633,Sola,VU,-13.8833,167.55,82.09,73,73,10.63,broken clouds
634,Dunmore Town,BS,25.5,-76.65,74.34,72,4,13.4,clear sky
635,Purpe,RU,64.4803,76.6897,22.87,94,100,15.84,light snow
636,Stephenville,US,32.2207,-98.2023,79.56,25,0,8.05,clear sky
637,Brooks,CA,50.5834,-111.8851,19.38,87,100,9.22,overcast clouds
638,Yamada,JP,39.4667,141.95,28.49,72,34,4.36,scattered clouds
639,Tongren,CN,27.7172,109.1853,55.9,93,100,1.5,overcast clouds
640,Roma,US,43.2128,-75.4557,24.66,56,99,18.99,overcast clouds
641,Nouakchott,MR,18.0858,-15.9785,84.13,42,0,10.51,clear sky
642,Sur,OM,22.5667,59.5289,73.31,77,0,11.39,clear sky
643,Durant,US,33.994,-96.3708,77.52,25,3,8.05,clear sky
644,Chara,RU,56.9064,118.2631,0.36,82,100,2.21,overcast clouds
645,Belyy Yar,RU,53.6039,91.3903,26.49,67,0,13.42,clear sky
646,Nanchital,MX,18.0667,-94.4,74.79,83,94,11.63,overcast clouds
647,Cayenne,GF,4.9333,-52.3333,81.09,84,75,9.22,broken clouds
648,Chegdomyn,RU,51.1167,133.0167,-6.61,99,99,1.83,overcast clouds
649,Wewak,PG,-3.5534,143.6268,78.22,84,100,4.27,moderate rain
650,Mogadishu,SO,2.0371,45.3438,78.33,82,80,22.21,broken clouds
651,Mabaruma,GY,8.2,-59.7833,77.0,93,100,5.91,overcast clouds
652,Lazaro Cardenas,MX,17.9583,-102.2,82.98,59,0,11.56,clear sky
653,Beisfjord,NO,68.3751,17.5988,30.25,97,100,1.99,overcast clouds
654,Shimoda,JP,34.6667,138.95,40.1,65,70,8.21,broken clouds
655,Brae,GB,60.3964,-1.353,44.51,91,100,18.86,overcast clouds
656,Beinamar,TD,8.6698,15.3813,83.95,8,84,4.72,broken clouds
657,Naron,ES,43.5167,-8.1528,52.02,80,76,13.65,broken clouds
658,Minab,IR,27.1467,57.0801,63.9,88,1,0.0,clear sky
659,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,80.37,73,91,1.79,overcast clouds
660,Nishihara,JP,26.1842,127.7558,64.45,82,75,6.91,broken clouds
661,Asilah,MA,35.465,-6.0348,58.96,69,34,18.19,scattered clouds
662,San Bartolome De Tirajana,ES,27.9248,-15.5733,55.87,73,40,19.57,scattered clouds
663,Opuwo,NA,-18.0607,13.84,68.95,36,5,5.59,clear sky
664,Kiunga,PG,-6.1219,141.2906,72.39,99,100,4.45,overcast clouds
665,Ahuimanu,US,21.4447,-157.8378,80.2,65,40,3.44,scattered clouds
666,Puerto Colombia,CO,10.9878,-74.9547,87.89,81,23,23.71,few clouds
667,Harindanga,IN,22.0383,88.3214,71.58,58,5,7.27,clear sky
668,Antibes,FR,43.5624,7.1278,51.1,92,20,8.05,mist
669,Camopi,GF,3.1655,-52.3158,75.02,97,96,3.44,overcast clouds
670,Matagami,CA,49.7502,-77.6328,3.31,47,40,11.5,scattered clouds
671,Oloron-Sainte-Marie,FR,43.1944,-0.6107,49.93,92,100,5.21,light rain
672,Trinidad,BO,-14.8333,-64.9,80.58,89,75,5.75,thunderstorm with light rain
673,Gubkinskiy,RU,64.434,76.5026,22.44,93,100,18.14,overcast clouds
674,Cockburn Town,TC,21.4612,-71.1419,80.56,69,4,11.5,clear sky
675,Abu Samrah,SY,35.3029,37.1841,45.59,67,51,30.71,broken clouds
676,Sept-Iles,CA,50.2001,-66.3821,9.03,50,75,18.41,broken clouds
677,Aksaray,TR,38.3726,34.0254,31.59,88,98,2.62,overcast clouds
678,Harper,LR,4.375,-7.7169,80.08,83,77,8.16,broken clouds
679,Filimonovo,RU,56.2011,95.4611,18.41,87,100,12.21,overcast clouds
680,Isla Aguada,MX,18.7833,-91.4667,77.34,74,24,10.78,few clouds
681,Akdepe,TM,42.0551,59.3788,51.8,43,84,16.26,broken clouds
682,Newport,GB,51.5877,-2.9984,47.68,88,100,1.99,overcast clouds
683,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,75,16.11,broken clouds
684,Broken Hill,AU,-31.95,141.4333,73.11,60,92,9.22,overcast clouds
685,Solingen,DE,51.1833,7.0833,41.92,61,0,6.22,clear sky
686,Borda Da Mata,BR,-22.2742,-46.1653,74.07,75,17,0.85,few clouds
687,Amot,NO,59.5714,7.9877,21.76,87,7,5.26,clear sky
688,Acapulco,MX,16.8634,-99.8901,85.32,53,0,11.21,clear sky
689,Gouyave,GD,12.1646,-61.7296,83.17,70,20,17.27,few clouds
690,Teshie,GH,5.5836,-0.1072,82.96,78,0,13.8,clear sky
691,Rebrikha,RU,53.0733,82.3408,13.41,90,100,7.31,overcast clouds
692,Kropotkin,RU,45.4375,40.5756,39.76,92,100,13.49,overcast clouds
693,Naze,JP,28.3667,129.4833,54.0,68,0,2.84,clear sky
